ID,State,Type,Price,In Date,Out Date,Gender,Name,Age,Phone
1,Reserved,single,50,2018/04/12,2018/04/15,Male,Çetin,21,5324411123
2,Reserved,single,50,2018/05/15,2018/05/15,Male,Can,21,5541238945
3,Empty,single,50,null,null,null,null,0,null
4,Empty,single,50,null,null,null,null,0,null
5,Empty,single,50,null,null,null,null,0,null
6,Empty,single,50,null,null,null,null,0,null
7,Empty,single,50,null,null,null,null,0,null
8,Empty,single,50,null,null,null,null,0,null
9,Reserved,double,100,2018/06/8,2018/06/10,Female,Fatma,18,5346789745
10,Empty,double,100,null,null,null,null,0,null
11,Empty,double,100,null,null,null,null,0,null
12,Empty,double,100,null,null,null,null,0,null
13,Empty,double,100,null,null,null,null,0,null
14,Empty,double,100,null,null,null,null,0,null
15,Empty,double,100,null,null,null,null,0,null
